listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
60673,2026-02-14,f,,,30,365
60673,2026-02-15,f,,,30,365
60673,2026-02-16,f,,,30,365
60673,2026-02-17,f,,,30,365
60673,2026-02-18,f,,,30,365
60673,2026-02-19,f,,,30,365
60673,2026-02-20,f,,,30,365
60673,2026-02-21,f,,,30,365
60673,2026-02-22,f,,,30,365
60673,2026-02-23,f,,,30,365
60673,2026-02-24,f,,,30,365
60673,2026-02-25,f,,,30,365
60673,2026-02-26,f,,,30,365
60673,2026-02-27,f,,,30,365
60673,2026-02-28,f,,,30,365
60673,2026-03-01,f,,,30,365
60673,2026-03-02,f,,,30,365
60673,2026-03-03,f,,,30,365
60673,2026-03-04,f,,,30,365
60673,2026-03-05,f,,,30,365
60673,2026-03-06,f,,,30,365
60673,2026-03-07,f,,,30,365
60673,2026-03-08,f,,,30,365
60673,2026-03-09,f,,,30,365
60673,2026-03-10,f,,,30,365
60673,2026-03-11,f,,,30,365
60673,2026-03-12,f,,,30,365
60673,2026-03-13,f,,,30,365
60673,2026-03-14,f,,,30,365
60673,2026-03-15,f,,,30,365
60673,2026-03-16,f,,,30,365
60673,2026-03-17,f,,,30,365
60673,2026-03-18,f,,,30,365
60673,2026-03-19,f,,,30,365
60673,2026-03-20,f,,,30,365
60673,2026-03-21,f,,,30,365
60673,2026-03-22,f,,,30,365
60673,2026-03-23,f,,,30,365
60673,2026-03-24,f,,,30,365
60673,2026-03-25,f,,,30,365
60673,2026-03-26,f,,,30,365
60673,2026-03-27,f,,,30,365
60673,2026-03-28,f,,,30,365
60673,2026-03-29,f,,,30,365
60673,2026-03-30,f,,,30,365
60673,2026-03-31,f,,,30,365
60673,2026-04-01,f,,,30,365
60673,2026-04-02,f,,,30,365
60673,2026-04-03,f,,,30,365
60673,2026-04-04,f,,,30,365
