setup,target,clean_mse,clean_r2,naive_mse,naive_r2,delta_r2
A,Q4 2025,321.28953502263437,0.6330509399350934,314.82737966792075,0.8067760876768767,-0.17372514774178327
C,Feb-Apr 2026,303.75333462778775,0.5656229060673088,275.3172984164365,0.831036369976659,-0.26541346390935017
