n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_lambda,mse_mean,mse_std,seconds
3000,0.03054448687973741,112,31,0.8586618852801327,0.6906375341879244,0.5382982563953534,296.49440201717726,2.200666969108494,77.90262913703918
3000,0.029495550279681752,105,47,0.7283410553534998,0.7934251658337068,2.420257653911431,296.7972799678139,2.513001707269134,76.75921893119812
3000,0.02610914566724232,79,35,0.7280348446228908,0.916887147775271,1.6450702997569595,297.1694488451077,2.7982878152980053,43.79872179031372
3000,0.02728918559116239,80,7,0.881209874167528,0.7249296082995222,4.014001132086312,297.27314628354804,3.8993407587722504,6263.594130992889
3000,0.03437554484834425,66,59,0.9358493074930136,0.7092215631383686,3.997738985660743,297.3795102532898,2.2909770851186773,1448.780755996704
3000,0.04054509277469386,99,59,0.8332753518599034,0.7837241532263819,6.984201684484681,297.41044210009323,2.39304298831448,32.381345987319946
3000,0.033307332941715874,107,29,0.9314083735840646,0.783452624013893,1.5548340538413408,297.48329630630207,2.472701808970698,51.83962893486023
3000,0.04282890418479257,70,40,0.893536437310489,0.8077583192945362,0.9455170443943691,297.780856500576,1.6354015652229397,31.40054678916931
3000,0.041761023141040916,95,54,0.9286661028462357,0.7312655338816796,1.8472164229375687,297.8602679811352,2.8430736235308154,63.14710187911987
3000,0.03486513736402701,58,13,0.8110888636034426,0.7828340901234803,4.095165357992886,297.9422873455542,2.7139804283053652,25.813501834869385
3000,0.038754819861845924,76,59,0.8199618106367325,0.7308244752930413,1.3429401634305387,298.0974147113252,3.360792431916074,4920.043928861618
3000,0.047196320581146166,90,21,0.8877887230262764,0.6665188474104714,1.0207880091291017,298.17704631288416,3.471917119639901,48.07240915298462
3000,0.05253812638155725,118,38,0.7506769862773189,0.690069137184415,0.8446176441956981,298.4231855216721,2.3143095021926707,1711.843533039093
3000,0.04461319431753215,92,51,0.7356990480341773,0.9363067292101863,2.390503846884672,298.6908106930744,3.949444995413544,31.380969285964966
3000,0.026302604679810437,81,23,0.7004830516824676,0.9321261080276172,3.1356815938951144,298.6941469293203,3.7288694210083917,66.74291896820068
3000,0.05333025234342357,62,53,0.7404225677561723,0.7476875393089235,1.0365311744166184,298.9430421171147,1.8745380106502387,15.12688684463501
3000,0.03896909926072863,101,49,0.8004323011245673,0.8649055023761144,2.074201393736139,299.0245492899563,3.6609782020089203,33.94475317001343
3000,0.03197715706915713,62,8,0.6992367976255537,0.821169766916702,0.6686540967467719,299.24526849131996,3.4646029396023543,57.95097804069519
3000,0.0407187928024324,41,44,0.8304397733543044,0.8120710441716679,1.0328033462803505,299.3321866951252,3.4857697272161428,145.42620706558228
3000,0.05794466087348142,59,15,0.7378443366168853,0.8302588861372151,1.3519292808479433,299.3322503518487,4.277831224429125,22.93896985054016
3000,0.025269006247320307,51,23,0.6824863193708028,0.9081492658655012,2.386417663739749,299.406541261642,3.2817582832054923,35.0872688293457
3000,0.042205466154021355,39,34,0.6929395047673306,0.7178330041053277,0.8100317584505015,299.69567963950635,3.816319274512236,374.65736722946167
3000,0.03708817477464781,41,10,0.8158685448626996,0.7411000006278999,2.7895720314170127,300.0564264170883,2.44173806608178,2099.682525873184
3000,0.045065923614851726,61,17,0.7491898232487629,0.8482902636214408,2.1885068592631884,300.2611380133576,3.3314426722356045,42.849041223526
3000,0.058672288309601514,53,41,0.8147214543781177,0.8857502824888913,0.7439295360556649,300.3881460512818,2.611755888271641,19.539597034454346
3000,0.027654420274975056,32,16,0.8912765409935509,0.6871214647312203,1.0351536591404187,300.4079383904674,4.731221721604711,24.755677223205566
3000,0.056044696935245907,90,57,0.7471040343153126,0.8961319446241894,4.604706687949928,300.57051499755227,2.6761101203457955,29.803381204605103
3000,0.04914726256900847,51,12,0.691801597393459,0.8653092460425731,1.8308550752765922,300.58690289224165,3.835264339058823,3019.7269508838654
3000,0.090713009494612,63,28,0.6827055202326605,0.7970876083869365,3.49894748199202,301.0789330244694,1.7016010118439475,26.597003936767578
3000,0.07601718330677122,112,10,0.7752259209265447,0.8849655089520936,2.9223154442620225,301.4321154556384,3.2545969633227854,23.06148600578308
3000,0.057731532973839525,117,19,0.6528020730195465,0.8249844939777518,5.0805487298150265,301.43573954017074,4.015121614998519,225.62187480926514
3000,0.06152380352268182,47,55,0.80053168579483,0.8946553384363237,4.957615838244407,301.8751409060583,3.4800232842868577,15.503270864486694
3000,0.09565187713851502,83,57,0.720197396490237,0.7681609466980656,4.705388534897365,302.03478987485295,2.2662021955892606,19.759825944900513
3000,0.05428904134637188,29,13,0.771783408537024,0.8018282574415171,1.0503061879999418,302.1110409470359,1.4452394403141444,28.373967170715332
3000,0.09533199768490294,102,53,0.8364961840257517,0.9367385731959911,6.4658908538072675,302.1246768656116,3.2845236305402064,24.69116187095642
3000,0.08793332546172337,27,25,0.8126115950471894,0.9146114653685858,2.732296101207061,302.1754192301148,1.287640854852371,11.354120016098022
3000,0.0751189484859237,52,14,0.6833640972815109,0.9494766232012445,6.2133572323929736,302.73810115755384,3.5375979125425427,29.55113697052002
3000,0.09660398970145549,103,22,0.7374266219273474,0.8192887466417729,1.4518116241752173,302.7721786083723,3.55054711832645,18.02967596054077
3000,0.09131258665304393,85,47,0.6697019955727732,0.7963152232905893,2.0416651370951633,302.77721630266075,3.011320768803272,17.784666061401367
3000,0.020727836662417527,21,17,0.8636978301086461,0.906731858735708,1.951249930362618,304.1465706104142,4.053224410148001,28.596733808517456
