setup,target,hurdle_mse,hurdle_r2,single_xgb_mse,single_xgb_r2,delta_mse
A,Q4 2025,325.32254294253227,0.6284447878382422,321.1695526379418,0.6331879734157644,4.152990304590446
C,Feb-Apr 2026,306.3311040783446,0.5619366123707032,302.77190616065315,0.5670263805212737,3.559197917691449
