n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,mse_mean,mse_std,avg_best_iter,seconds
3000,0.02504452445561626,8,3,0.6522086809253017,0.8860773132506415,0.2659403426368129,0.08002399064161736,3.0178596288210042,329.94583218850937,9.646396931806304,490,22.657705307006836
3000,0.027130936964668995,6,2,0.7927114778677801,0.7180728047152652,0.26792559787300413,0.01513073121220691,3.4013255420187005,330.5632062642802,9.177036647376108,642,17.4146990776062
3000,0.04609952240374185,6,4,0.8816037296332964,0.8484983789503283,0.14946309154948403,0.0017987164377005892,2.790998581002803,330.67556332472185,8.073475142041755,447,12.474961757659912
3000,0.025212158786021246,8,1,0.7188968089996566,0.6895466653359563,0.271063469445143,0.0021321721949740875,1.6043530193838533,330.68587081201736,8.037957173503962,381,18.02703309059143
3000,0.04082848077364031,6,3,0.8163754361047504,0.6691451768312526,0.3310524687970329,0.050680777174435476,2.864558820463711,331.51147374085514,8.752757832544237,504,13.646477937698364
3000,0.02563738484120298,7,8,0.8734286467723451,0.9402529197302629,0.1303301432552608,0.00999676848494054,1.4740961625414335,332.42921389392706,9.118445111708523,481,17.541880130767822
3000,0.03400893943185315,7,2,0.6810208903167655,0.8262933716533136,0.06823718741475444,0.3139579248628472,1.905597366869305,332.6125135662862,10.456248863416771,343,13.906629800796509
3000,0.023818871525191507,7,8,0.7343701351517025,0.8478267904075705,0.29079784571475303,0.11872892198703452,0.6407829541336535,332.9797545123294,9.089414603641643,510,16.775553703308105
3000,0.043771312699668045,7,6,0.9313479364924948,0.8215184157128226,0.18939576042278153,0.0052548376944934585,1.0728499904634843,333.76923164370316,9.160827707995766,290,10.518999099731445
3000,0.04623431068845875,8,5,0.6564836239640991,0.8978875772583074,0.35846430873590673,0.0023907165298289327,1.7906312020409993,333.87968056035254,10.403226290477654,263,12.72359585762024
3000,0.0349527688127113,7,7,0.6568411613089092,0.9375677639724336,0.1929213747771601,0.1295922110500909,0.6049228704153987,333.9956524185056,9.655117885065794,414,15.689683198928833
3000,0.02824998654804698,5,5,0.9060209219804498,0.7201818457596022,0.02332109667562641,0.005747072611504051,0.9830231875769926,334.22866345674043,8.388529481817425,782,15.810962200164795
3000,0.07087047874659051,6,2,0.7851157813686701,0.7612394072697743,0.3707059955394407,0.05467296738432674,3.3245404207960823,334.440399558502,7.625803403421755,232,8.722647190093994
3000,0.032725364958645246,8,7,0.7030318348817696,0.9069842852277126,0.30340781193408406,0.08745989212538824,1.3522688502844769,334.48110712230084,9.864895102548854,273,12.855753898620605
3000,0.05247840031077856,7,10,0.708930399714372,0.7430971018700284,0.31096193529647104,0.41969169309426024,1.583839575607537,334.53283048841206,8.908132195611456,301,10.20586109161377
3000,0.04185991646015,6,7,0.6919390994382972,0.684359022060792,0.2673611847161887,0.018684200951110758,1.8374101487055596,335.0319590972611,10.720774009031002,397,10.802006006240845
3000,0.024183133958427635,5,11,0.9225742072122821,0.8599121401432248,0.10634798458380784,0.4128363896337596,3.004145121234232,335.44136806613017,8.03583020368812,857,17.279690980911255
3000,0.021499144143772755,5,5,0.9477126692167511,0.9175031798764741,0.2994432077827797,0.25364260971425084,3.9121603218232086,335.81409918777956,9.209639248860235,869,17.889514923095703
3000,0.0695027611568869,7,5,0.9075793759734146,0.8592104087178092,0.03767093915505981,0.4297100021154879,2.8847601250181265,335.9185462952131,10.58977057471408,182,8.19740891456604
3000,0.03331966059993038,5,11,0.7372753514420356,0.8045171387695144,0.10238603622704111,0.33601101793618193,0.7304286878239395,336.2326112853401,10.888003214311425,643,13.299238204956055
3000,0.06340371925423295,7,5,0.7316724685535477,0.6789172886460498,0.3610409586175367,0.016987385205513777,0.7967707255459668,337.1167336288944,11.190287393577247,205,8.05704116821289
3000,0.06133905081490618,6,5,0.7643063678289448,0.740453626744363,0.2521130372475554,0.009473738285831642,0.6118147227310421,337.38413711091454,9.810772388829413,241,7.489967107772827
3000,0.06850799389442953,6,7,0.8160738201973987,0.817762148223624,0.12158003922504489,0.0012110899802924879,1.3667446846441398,337.4229572644296,9.056026888982949,254,7.739925146102905
3000,0.03538612547592797,4,11,0.9179363363966593,0.8835150491221285,0.07785548314078704,0.018183018870845457,0.5530619367134854,338.2610637300653,8.574147256262215,925,16.057130098342896
3000,0.020744599445731385,4,1,0.8667078051789351,0.7885631690754162,0.06450871161344073,0.022506337068172167,0.7100388420219206,338.41415039067067,8.741900561185938,1313,21.465664863586426
3000,0.054890862988669735,4,7,0.844953980466446,0.6753332963419667,0.16632296086824386,0.0012951360944787335,1.5594118265578958,338.42423693186515,9.606603886248015,624,11.688316822052002
3000,0.030512797274916247,4,11,0.7222911725017054,0.6868273797234459,0.3324450688499625,0.0025924463211170062,0.7555066867483022,338.69986052715933,8.749773610058684,983,15.876044034957886
3000,0.061729718577592504,4,4,0.8996779404185603,0.8914293072490406,0.15499135161206978,0.006000520225308894,2.4069413520590546,338.7532274463193,8.229110044051776,566,10.397249937057495
3000,0.05803497274683508,4,7,0.885169462731924,0.8492940620982162,0.16255474457602823,0.15740430319270757,0.7344173433759003,338.9612762013773,8.599890961809574,586,10.63944697380066
3000,0.08735641423917218,8,3,0.661223766852854,0.816455740817445,0.1483689135449755,0.17361115510139932,3.215299821462034,339.82527221114105,10.916896094655408,139,8.33886170387268
