iterations,learning_rate,depth,l2_leaf_reg,mse_mean,mse_std,seconds
3000,0.029495550279681752,8,1.0313595754235936,308.60959902319064,2.0911618418439626,77.6738440990448
3000,0.043171415810116666,7,2.420257653911431,309.2813506326697,3.081908917893833,45.22060585021973
3000,0.057731532973839525,8,0.5131174426096071,309.4534962331605,4.573026320614037,45.04993200302124
3000,0.07431089161987824,8,4.957615838244407,310.33943981534566,3.7014683699323108,50.83640813827515
3000,0.04461319431753215,7,1.1039340400379007,311.42346076473785,4.4567593860697,38.521902084350586
3000,0.02610914566724232,6,1.0284449662383113,312.4251717797021,2.838415815769873,39.25396513938904
3000,0.09660398970145549,8,1.1217011004278319,312.9568475095792,3.585212914367752,31.092247247695923
3000,0.09291718588961277,8,2.390503846884672,313.65209954708524,4.732403925519586,34.94173312187195
3000,0.08372407636011575,6,1.6450702997569595,313.7521194294785,6.038003668083471,16.245248079299927
3000,0.03197715706915713,6,0.7881218667541189,313.86068921689616,5.829726953413933,29.828527212142944
3000,0.05113595495243305,5,5.0805487298150265,313.8842979894497,3.5845825396780446,21.809863805770874
3000,0.049597050365896525,5,1.4518116241752173,314.2916156174158,2.7091310229600385,21.605036735534668
3000,0.06152380352268182,5,2.009851825482784,315.0793701300394,2.971836342616902,17.39185118675232
3000,0.09971961299986762,4,6.2133572323929736,315.263850796298,3.0394546613542537,14.386847972869873
3000,0.07928473100036916,5,1.951249930362618,315.2811919757367,5.072806883135158,13.992434024810791
3000,0.025269006247320307,5,0.675089612151671,315.3238880455871,4.359744151812996,35.802295207977295
3000,0.0751189484859237,5,0.6805884769883608,315.3952552496128,2.8395290814624894,16.062458992004395
3000,0.07988991773171172,5,2.386417663739749,316.4259238925109,3.4971859429975076,13.091230869293213
3000,0.05010008216025977,4,0.6686540967467719,317.2964898227141,3.57568967493362,17.07232904434204
3000,0.020727836662417527,4,3.603264109922704,318.12381507013754,3.9011529361434185,35.23005390167236
