n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,mse_mean,mse_std,avg_best_iter,seconds
3000,0.023818871525191507,7,8,0.7343701351517025,0.8478267904075705,0.29079784571475303,0.11872892198703452,0.6407829541336535,222.58980948785512,6.42648513827,384,18.85961604118347
3000,0.02563738484120298,7,8,0.8734286467723451,0.9402529197302629,0.1303301432552608,0.00999676848494054,1.4740961625414335,223.69824127992905,7.2721971519435895,415,18.635825157165527
3000,0.03158446156756621,7,10,0.6819258595614148,0.9497314191422715,0.2662738944426148,0.056841812284169076,0.6157589476358638,224.08989448044653,6.036039958977043,277,14.568124055862427
3000,0.03171372939207153,8,11,0.6574578474158769,0.8165594126980474,0.25359004467243407,0.0019311406968295262,0.6907320398872018,224.19961401214897,6.728201245515199,243,18.55164909362793
3000,0.020582464386789873,7,2,0.8988285844648208,0.8890451264975485,0.09305629678657348,0.027072677152534745,2.0183004871743173,224.30249658234146,7.059172863024653,397,24.346990823745728
3000,0.024407887468210626,6,11,0.7692734581474822,0.7402846075342819,0.19543361814061333,0.061524859016712445,4.514329566709248,224.62899753169782,7.559815111733103,404,14.423702001571655
3000,0.04609952240374185,6,4,0.8816037296332964,0.8484983789503283,0.14946309154948403,0.0017987164377005892,2.790998581002803,224.70878145556858,8.250193333263928,205,9.430591106414795
3000,0.021449528989528666,6,2,0.7210234613313188,0.7248162727496635,0.2284930606971091,0.013288617501500979,0.5600465474582327,224.708833676739,6.013790186611274,479,17.392940044403076
3000,0.027130936964668995,6,2,0.7927114778677801,0.7180728047152652,0.26792559787300413,0.01513073121220691,3.4013255420187005,224.90374416882113,6.9296775815918705,358,14.065340995788574
3000,0.03392693514194446,6,6,0.9045681466320873,0.8457762021680306,0.32175673117883097,0.027403210307772728,2.147274830986834,225.10731542335225,6.472292629130387,252,11.007402896881104
3000,0.02483578853411262,8,6,0.8042668610571243,0.9072716432367672,0.18511974623740635,0.01094825738945617,2.180385451567512,225.34845991484644,6.5119410834447,247,17.63102626800537
3000,0.043771312699668045,7,6,0.9313479364924948,0.8215184157128226,0.18939576042278153,0.0052548376944934585,1.0728499904634843,225.39612295569205,6.4157079105455255,191,9.736170053482056
3000,0.030911907451553044,7,5,0.7443319940612789,0.6972834945874999,0.05911334901687666,0.3361862477095634,1.3704842268625164,225.43677138013066,6.022000854397037,243,12.534191131591797
3000,0.02330768130690007,7,8,0.6753479656470561,0.9307819468101878,0.05496317201512087,0.38724785554968,3.1612160657641732,225.4563927108448,7.386682720408667,312,15.66042709350586
3000,0.05199910981393004,6,9,0.8885344516949257,0.9338081188451991,0.10135334153567488,0.039137865989191466,0.6223278001682517,225.46839755118418,6.521161676665602,223,9.448803186416626
3000,0.032725364958645246,8,7,0.7030318348817696,0.9069842852277126,0.30340781193408406,0.08745989212538824,1.3522688502844769,225.4835138254062,6.5116833613061855,215,13.72439694404602
3000,0.03400893943185315,7,2,0.6810208903167655,0.8262933716533136,0.06823718741475444,0.3139579248628472,1.905597366869305,225.71150213718684,7.233542927352734,236,12.521061182022095
3000,0.03387970122341218,6,5,0.8557230036367836,0.7390629423713856,0.3795431706861362,0.297300622306349,1.5131446011467107,225.7441229689833,7.3361735975732625,316,12.922057867050171
3000,0.05247840031077856,7,10,0.708930399714372,0.7430971018700284,0.31096193529647104,0.41969169309426024,1.583839575607537,225.86889336424056,7.134072884521106,143,7.656040906906128
3000,0.025212158786021246,8,1,0.7188968089996566,0.6895466653359563,0.271063469445143,0.0021321721949740875,1.6043530193838533,225.96608228793298,6.353655180687764,288,18.113300323486328
3000,0.04082848077364031,6,3,0.8163754361047504,0.6691451768312526,0.3310524687970329,0.050680777174435476,2.864558820463711,226.12923615503638,8.343805411081126,238,9.461788177490234
3000,0.057657618315615805,7,5,0.882296424842553,0.8513694239925778,0.13345510333129526,0.26586695662235793,2.894024153437496,226.14914398273285,7.661054199505464,150,11.443535089492798
3000,0.0695027611568869,7,5,0.9075793759734146,0.8592104087178092,0.03767093915505981,0.4297100021154879,2.8847601250181265,226.19094505620325,7.909637092249153,132,8.749300956726074
3000,0.024183133958427635,5,11,0.9225742072122821,0.8599121401432248,0.10634798458380784,0.4128363896337596,3.004145121234232,226.52634970210147,7.177650818131176,590,14.406222105026245
3000,0.0349527688127113,7,7,0.6568411613089092,0.9375677639724336,0.1929213747771601,0.1295922110500909,0.6049228704153987,226.61413586996474,7.463318601837305,192,10.128945112228394
3000,0.031625747037253245,6,2,0.6846470190996065,0.656344404900932,0.022158163665704046,0.0029604115611458113,0.5653949653984668,226.61565078485168,6.822646887339782,329,13.386729001998901
3000,0.041523150866643,6,3,0.7209987088992743,0.8738042840730339,0.3266275053695642,0.0019237223010404667,0.5828125046518188,226.72766115320277,6.961846321801805,235,12.355595827102661
3000,0.02504452445561626,8,3,0.6522086809253017,0.8860773132506415,0.2659403426368129,0.08002399064161736,3.0178596288210042,227.05668959164936,6.895865251605101,260,19.09333086013794
3000,0.05178712379109554,6,8,0.7680891370496085,0.7453973290856148,0.20181049480889204,0.229938711154282,3.5489643038842322,227.0908526833397,8.498233954672605,242,9.761035919189453
3000,0.06113622424432156,7,7,0.7099326954980173,0.8912373578546788,0.2861628518463207,0.09874057689085267,0.6761261854427444,227.10744270436416,7.750048880876777,135,8.524656057357788
3000,0.021499144143772755,5,5,0.9477126692167511,0.9175031798764741,0.2994432077827797,0.25364260971425084,3.9121603218232086,227.19535940031892,7.067595418049088,597,17.17975401878357
3000,0.06850799389442953,6,7,0.8160738201973987,0.817762148223624,0.12158003922504489,0.0012110899802924879,1.3667446846441398,227.19814527487173,8.188714585073093,137,7.040716648101807
