n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,mse_mean,mse_std,avg_best_iter,seconds
3000,0.027130936964668995,6,2,0.7927114778677801,0.7180728047152652,0.26792559787300413,0.01513073121220691,3.4013255420187005,183.13565045520392,6.454247565297563,464,42.53106188774109
3000,0.021449528989528666,6,2,0.7210234613313188,0.7248162727496635,0.2284930606971091,0.013288617501500979,0.5600465474582327,183.33931095474153,6.51769472680543,410,39.35586094856262
3000,0.023818871525191507,7,8,0.7343701351517025,0.8478267904075705,0.29079784571475303,0.11872892198703452,0.6407829541336535,183.56872282763874,6.547210471879766,380,37.72859597206116
3000,0.02504452445561626,8,3,0.6522086809253017,0.8860773132506415,0.2659403426368129,0.08002399064161736,3.0178596288210042,183.83588819491274,6.321932206881968,406,54.02513885498047
3000,0.024407887468210626,6,11,0.7692734581474822,0.7402846075342819,0.19543361814061333,0.061524859016712445,4.514329566709248,183.9778949518326,6.587356367710897,354,31.76985216140747
3000,0.03158446156756621,7,10,0.6819258595614148,0.9497314191422715,0.2662738944426148,0.056841812284169076,0.6157589476358638,183.98040126754492,6.668389489351077,256,32.657774925231934
3000,0.020582464386789873,7,2,0.8988285844648208,0.8890451264975485,0.09305629678657348,0.027072677152534745,2.0183004871743173,184.17217382614024,6.962907788130478,492,60.96726179122925
3000,0.02563738484120298,7,8,0.8734286467723451,0.9402529197302629,0.1303301432552608,0.00999676848494054,1.4740961625414335,184.30475788788803,7.31675145806119,355,114.2475118637085
3000,0.030911907451553044,7,5,0.7443319940612789,0.6972834945874999,0.05911334901687666,0.3361862477095634,1.3704842268625164,184.42268692536618,6.572374841445823,279,35.259440183639526
3000,0.02330768130690007,7,8,0.6753479656470561,0.9307819468101878,0.05496317201512087,0.38724785554968,3.1612160657641732,184.44765809553027,6.359263284924153,340,42.4608850479126
3000,0.04185991646015,6,7,0.6919390994382972,0.684359022060792,0.2673611847161887,0.018684200951110758,1.8374101487055596,184.49841749397135,7.070426855583632,280,22.29294514656067
3000,0.025212158786021246,8,1,0.7188968089996566,0.6895466653359563,0.271063469445143,0.0021321721949740875,1.6043530193838533,184.54074939267582,6.5119298278003885,382,58.64923095703125
