listing_id,hq3_booked,hq3_occupied,hq3_obs_days,hq3_changes,hq3_booking_rate,hq3_occ_rate,hq4_booked,hq4_occupied,hq4_obs_days,hq4_changes,hq4_booking_rate,hq4_occ_rate,hjan_occ,hjan_obs,hjan_booking_rate,h7_booked_total,trend_q4_q3,trend_jan_q4,momentum,recency_booking_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_is_superhost,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,instant_bookable,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,estimated_occupancy_l365d,estimated_revenue_l365d,license_missing,has_reviews,host_age_days,days_since_first_review,days_since_last_review,bed_bath_ratio,kw_luxury,kw_private,kw_cozy,kw_modern,kw_spacious,kw_view,kw_near,kw_studio,title_len,title_words,review_scores_rating_missing,host_response_rate_missing,reviews_per_month_missing,estimated_occupancy_l365d_missing,geo_cluster,rev_total,rev_90,rev_365,rev_recency_days,y_clean,traj_slope,traj_recent3,traj_older3,traj_recent_older_ratio,traj_accel,traj_std,traj_max,traj_nonzero_months,traj_last
60680,1.0,4.0,91.0,1.0,0.01098901098901099,0.04395604395604396,3.0,4.0,91.0,3.0,0.03296703296703297,0.04395604395604396,0,31,0.0,4.0,0.021978021978021976,-0.03296703296703297,-0.01098901098901099,0.0,East Village,Manhattan,40.72598,-73.97978,Entire rental unit,Entire home/apt,6,1.0,1.0,2.0,30.0,1125.0,0,,,6.0,,0,168,0,0,0.91,4.53,4.68,4.36,4.84,4.42,0,,1,1,,5528.0,426.0,2.0,0,0,1,0,1,0,0,0,50,9,0,1,0,0,c8,168.0,0.0,0.0,426.0,2,0.14285714285714285,1.0,0.3333333333333333,0.75,-2.0,0.7284313590846835,2.0,3,0.0
60794,0.0,91.0,91.0,0.0,0.0,1.0,0.0,91.0,91.0,0.0,0.0,1.0,31,31,0.0,0.0,0.0,0.0,0.0,0.0,Upper West Side,Manhattan,40.79918,-73.96248,Entire rental unit,Entire home/apt,6,,3.0,,30.0,1125.0,0,,,1.0,,0,4,0,0,0.02,5.0,5.0,4.75,5.0,5.0,0,,1,1,,5256.0,3082.0,,0,0,0,0,1,0,0,0,34,5,0,1,0,0,c0,4.0,0.0,0.0,3082.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
61406,0.0,0.0,91.0,0.0,0.0,0.0,19.0,24.0,91.0,19.0,0.2087912087912088,0.26373626373626374,1,31,0.03225806451612903,20.0,0.2087912087912088,-0.17653314427507977,0.03225806451612903,0.03225806451612903,Harlem,Manhattan,40.80371,-73.95635,Private room in rental unit,Private room,1,1.5,1.0,1.0,30.0,480.0,0,,,1.0,,0,2,0,0,0.02,4.5,4.5,4.0,4.5,4.5,0,,1,1,,2647.0,523.0,0.6666666666666666,0,0,0,0,0,0,0,0,28,5,0,1,0,0,c0,2.0,0.0,0.0,523.0,2,0.8214285714285714,6.666666666666667,0.0,6.666666666666667,0.0,6.197431989566818,18.0,3,1.0
62925,35.0,43.0,91.0,35.0,0.38461538461538464,0.4725274725274725,0.0,77.0,91.0,0.0,0.0,0.8461538461538461,7,31,0.0967741935483871,38.0,-0.38461538461538464,0.0967741935483871,-0.28784119106699757,0.0967741935483871,Greenpoint,Brooklyn,40.72967,-73.95352,Entire home,Entire home/apt,4,2.0,1.0,1.0,30.0,90.0,1,,,2.0,,0,173,1,0,0.96,4.82,4.82,4.71,4.87,4.69,60,,1,1,,5447.0,88.0,0.5,0,0,0,0,0,0,0,0,27,3,0,1,0,0,c1,173.0,1.0,1.0,88.0,52,-1.1428571428571428,1.0,11.666666666666666,0.07894736842105264,3.0,9.854036777703163,29.0,3,3.0
63610,13.0,20.0,92.0,13.0,0.14130434782608695,0.21739130434782608,13.0,19.0,91.0,13.0,0.14285714285714285,0.2087912087912088,7,31,0.22580645161290322,33.0,0.0015527950310559036,0.08294930875576037,0.08450210378681627,0.22580645161290322,Eastchester,Bronx,40.881,-73.83511,Private room in home,Private room,3,,,,30.0,120.0,1,,,13.0,,0,57,0,0,0.37,4.93,4.91,4.86,4.72,4.7,0,,1,1,,4668.0,854.0,,0,1,0,0,0,0,1,0,50,7,0,1,0,0,c5,57.0,0.0,0.0,854.0,7,0.75,6.666666666666667,4.333333333333333,1.2500000000000002,0.0,3.010186786529354,7.0,5,7.0
63657,0.0,91.0,91.0,0.0,0.0,1.0,0.0,91.0,91.0,0.0,0.0,1.0,31,31,0.0,0.0,0.0,0.0,0.0,0.0,Bedford-Stuyvesant,Brooklyn,40.68253,-73.94295,Entire townhouse,Entire home/apt,2,,1.0,,30.0,1125.0,0,,,2.0,,0,266,0,0,1.45,4.59,4.64,4.76,4.23,4.59,0,,1,1,,5508.0,2247.0,,0,1,0,0,0,0,0,0,43,8,0,1,0,0,c7,266.0,0.0,0.0,2247.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
7801,0.0,91.0,91.0,0.0,0.0,1.0,14.0,87.0,91.0,14.0,0.15384615384615385,0.9560439560439561,0,31,0.0,14.0,0.15384615384615385,-0.15384615384615385,0.0,0.0,Williamsburg,Brooklyn,40.71880722045898,-73.9561767578125,Entire place,Entire home/apt,2,1.0,0.0,1.0,30.0,120.0,1,,,3.0,,0,12,0,0,0.06,4.91,4.78,4.67,5.0,4.89,0,,1,1,,6020.0,550.0,1.0,0,1,0,0,0,0,0,0,48,7,0,1,0,0,c1,12.0,0.0,0.0,550.0,49,1.0,4.666666666666667,0.0,4.666666666666667,-14.0,4.898979485566356,14.0,1,0.0
8490,10.0,80.0,91.0,10.0,0.10989010989010989,0.8791208791208791,13.0,78.0,91.0,13.0,0.14285714285714285,0.8571428571428571,5,31,0.12903225806451613,27.0,0.03296703296703296,-0.013824884792626724,0.019142148174406237,0.12903225806451613,Bedford-Stuyvesant,Brooklyn,40.68455584344908,-73.93963415175676,Entire loft,Entire home/apt,5,1.0,1.0,4.0,30.0,1125.0,0,,,2.0,,0,189,0,0,0.95,4.77,4.83,4.74,4.67,4.76,0,,1,1,,6004.0,839.0,4.0,0,0,0,1,0,0,0,0,48,5,0,1,0,0,c7,189.0,0.0,0.0,839.0,33,0.7857142857142857,5.666666666666667,3.3333333333333335,1.3076923076923075,-3.0,3.7197761617975815,10.0,4,4.0
9357,3.0,42.0,91.0,3.0,0.03296703296703297,0.46153846153846156,7.0,74.0,91.0,7.0,0.07692307692307693,0.8131868131868132,3,31,0.0967741935483871,13.0,0.04395604395604396,0.019851116625310167,0.06380716058135413,0.0967741935483871,Hell's Kitchen,Manhattan,40.76724,-73.98664,Entire rental unit,Entire home/apt,2,1.0,,1.0,30.0,120.0,0,,,1.0,,0,58,0,0,0.29,4.52,4.68,4.16,4.95,4.58,0,,1,1,,5964.0,3094.0,1.0,0,0,1,0,0,0,0,1,20,2,0,1,0,0,c11,58.0,0.0,0.0,3094.0,19,0.6071428571428571,3.3333333333333335,1.0,1.6666666666666667,-4.0,2.4743582965269675,7.0,3,3.0
10452,0.0,91.0,91.0,0.0,0.0,1.0,0.0,91.0,91.0,0.0,0.0,1.0,31,31,0.03225806451612903,1.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,Bedford-Stuyvesant,Brooklyn,40.68294,-73.95682,Private room in rental unit,Private room,2,1.0,1.0,2.0,30.0,730.0,1,,,6.0,,0,82,1,0,0.43,4.66,4.5,4.62,4.42,4.67,60,,1,1,,5768.0,307.0,2.0,0,0,0,0,0,0,0,0,29,5,0,1,0,0,c7,82.0,0.0,1.0,307.0,89,0.10714285714285714,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3499271061118826,1.0,1,1.0
11943,0.0,91.0,91.0,0.0,0.0,1.0,0.0,91.0,91.0,0.0,0.0,1.0,31,31,0.0,0.0,0.0,0.0,0.0,0.0,Flatbush,Brooklyn,40.63702,-73.96327,Private room in home,Private room,1,,1.0,,30.0,730.0,0,,,1.0,,0,0,0,0,,,,,,,0,,1,0,,,,,0,0,0,0,0,0,0,0,25,5,1,1,1,0,c3,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
12192,57.0,86.0,91.0,57.0,0.6263736263736264,0.945054945054945,0.0,89.0,91.0,2.0,0.0,0.978021978021978,30,31,0.0,57.0,-0.6263736263736264,0.0,-0.6263736263736264,0.0,East Village,Manhattan,40.72296,-73.98383,Private room in rental unit,Private room,2,,,,30.0,1125.0,1,,,2.0,,0,315,1,0,1.59,4.4,4.6,4.06,4.71,4.54,60,,1,1,,5941.0,185.0,,0,0,0,0,0,0,0,0,19,3,0,1,0,0,c8,315.0,0.0,1.0,185.0,20,-3.0357142857142856,0.0,19.0,0.0,0.0,12.877761245413643,29.0,2,0.0
64015,0.0,91.0,91.0,0.0,0.0,1.0,0.0,91.0,91.0,0.0,0.0,1.0,31,31,0.0,0.0,0.0,0.0,0.0,0.0,East Village,Manhattan,40.72863,-73.9842,Entire rental unit,Entire home/apt,2,,1.0,,30.0,730.0,0,,,1.0,,0,0,0,0,,,,,,,0,,1,0,,,,,0,0,0,0,0,0,0,0,28,5,1,1,1,0,c8,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
64314,0.0,91.0,91.0,0.0,0.0,1.0,0.0,91.0,91.0,0.0,0.0,1.0,31,31,0.0,0.0,0.0,0.0,0.0,0.0,Crown Heights,Brooklyn,40.67634,-73.95143,Private room in rental unit,Private room,2,,,,30.0,1125.0,0,,,1.0,,0,46,0,0,0.25,4.82,4.91,4.91,4.41,4.8,0,,1,1,,5503.0,1177.0,,0,0,1,0,0,0,0,0,33,6,0,1,0,0,c7,46.0,0.0,0.0,1177.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
64365,30.0,91.0,91.0,30.0,0.32967032967032966,1.0,0.0,91.0,91.0,0.0,0.0,1.0,31,31,1.0,61.0,-0.32967032967032966,1.0,0.6703296703296704,1.0,Crown Heights,Brooklyn,40.67579,-73.95072,Private room in home,Private room,2,,,,30.0,365.0,0,,,2.0,,0,257,0,0,1.43,4.79,4.79,4.81,4.53,4.78,0,,1,1,,5398.0,457.0,,0,0,0,0,0,0,0,0,25,4,0,1,0,0,c7,257.0,0.0,0.0,457.0,50,2.25,10.333333333333334,10.0,0.9393939393939394,31.0,13.781087306411596,31.0,2,31.0
