listing_id,y_clean,y_orig
2595,31,31
6848,39,39
6872,15,1
6990,69,69
7064,0,0
7097,0,0
7801,14,0
8490,34,25
9357,37,30
10452,1,1
11943,0,0
12192,1,1
12937,33,29
12940,80,80
14314,1,1
15341,60,60
15396,0,0
16338,57,17
16580,63,63
16821,34,0
16974,60,60
17037,70,30
18152,44,44
18728,18,12
18961,0,0
