listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
328040,2025-09-02,f,,,30,1125
328040,2025-09-03,f,,,30,1125
328040,2025-09-04,f,,,30,1125
328040,2025-09-05,f,,,30,1125
328040,2025-09-06,f,,,30,1125
328040,2025-09-07,f,,,30,1125
328040,2025-09-08,f,,,30,1125
328040,2025-09-09,f,,,30,1125
328040,2025-09-10,f,,,30,1125
328040,2025-09-11,f,,,30,1125
328040,2025-09-12,f,,,30,1125
328040,2025-09-13,f,,,30,1125
328040,2025-09-14,f,,,30,1125
328040,2025-09-15,f,,,30,1125
328040,2025-09-16,f,,,30,1125
328040,2025-09-17,f,,,30,1125
328040,2025-09-18,f,,,30,1125
328040,2025-09-19,f,,,30,1125
328040,2025-09-20,f,,,30,1125
328040,2025-09-21,f,,,30,1125
328040,2025-09-22,f,,,30,1125
328040,2025-09-23,f,,,30,1125
328040,2025-09-24,f,,,30,1125
328040,2025-09-25,f,,,30,1125
328040,2025-09-26,f,,,30,1125
