listing_id,date,available,minimum_nights,maximum_nights
62925,2026-04-14,f,30,90
62925,2026-04-15,f,30,90
62925,2026-04-16,f,30,90
62925,2026-04-17,f,30,90
62925,2026-04-18,f,30,90
62925,2026-04-19,f,30,90
62925,2026-04-20,f,30,90
62925,2026-04-21,f,30,90
62925,2026-04-22,f,30,90
62925,2026-04-23,f,30,90
62925,2026-04-24,f,30,90
62925,2026-04-25,f,30,90
62925,2026-04-26,f,30,90
62925,2026-04-27,f,30,90
62925,2026-04-28,f,30,90
62925,2026-04-29,f,30,90
62925,2026-04-30,f,30,90
62925,2026-05-01,f,30,90
62925,2026-05-02,f,30,90
62925,2026-05-03,f,30,90
62925,2026-05-04,f,30,90
62925,2026-05-05,f,30,90
62925,2026-05-06,f,30,90
62925,2026-05-07,f,30,90
62925,2026-05-08,f,30,90
62925,2026-05-09,f,30,90
62925,2026-05-10,f,30,90
62925,2026-05-11,f,30,90
62925,2026-05-12,f,30,90
62925,2026-05-13,f,30,90
62925,2026-05-14,f,30,90
62925,2026-05-15,f,30,90
62925,2026-05-16,f,30,90
62925,2026-05-17,f,30,90
62925,2026-05-18,f,30,90
62925,2026-05-19,f,30,90
62925,2026-05-20,f,30,90
62925,2026-05-21,f,30,90
62925,2026-05-22,f,30,90
62925,2026-05-23,f,30,90
62925,2026-05-24,f,30,90
62925,2026-05-25,f,30,90
62925,2026-05-26,f,30,90
62925,2026-05-27,t,30,90
62925,2026-05-28,t,30,90
62925,2026-05-29,t,30,90
62925,2026-05-30,t,30,90
62925,2026-05-31,t,30,90
62925,2026-06-01,t,30,90
62925,2026-06-02,t,30,90
