listing_id,date,available,minimum_nights,maximum_nights
6848,2026-03-16,f,30,240
6848,2026-03-17,f,30,240
6848,2026-03-18,t,30,240
6848,2026-03-19,t,30,240
6848,2026-03-20,t,30,240
6848,2026-03-21,t,30,240
6848,2026-03-22,t,30,240
6848,2026-03-23,f,30,240
6848,2026-03-24,f,30,240
6848,2026-03-25,f,30,240
6848,2026-03-26,f,30,240
6848,2026-03-27,f,30,240
6848,2026-03-28,f,30,240
6848,2026-03-29,f,30,240
6848,2026-03-30,f,30,240
6848,2026-03-31,f,30,240
6848,2026-04-01,f,30,240
6848,2026-04-02,f,30,240
6848,2026-04-03,f,30,240
6848,2026-04-04,f,30,240
6848,2026-04-05,f,30,240
6848,2026-04-06,f,30,240
6848,2026-04-07,f,30,240
6848,2026-04-08,f,30,240
6848,2026-04-09,f,30,240
6848,2026-04-10,f,30,240
6848,2026-04-11,f,30,240
6848,2026-04-12,f,30,240
6848,2026-04-13,f,30,240
6848,2026-04-14,f,30,240
6848,2026-04-15,f,30,240
6848,2026-04-16,f,30,240
6848,2026-04-17,f,30,240
6848,2026-04-18,f,30,240
6848,2026-04-19,f,30,240
6848,2026-04-20,f,30,240
6848,2026-04-21,f,30,240
6848,2026-04-22,f,30,240
6848,2026-04-23,t,30,240
6848,2026-04-24,t,30,240
6848,2026-04-25,t,30,240
6848,2026-04-26,t,30,240
6848,2026-04-27,t,30,240
6848,2026-04-28,t,30,240
6848,2026-04-29,t,30,240
6848,2026-04-30,t,30,240
6848,2026-05-01,f,30,240
6848,2026-05-02,f,30,240
6848,2026-05-03,f,30,240
6848,2026-05-04,f,30,240
