listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
2539,2026-01-15,t,,,30,730
2539,2026-01-16,t,,,30,730
2539,2026-01-17,t,,,30,730
2539,2026-01-18,t,,,30,730
2539,2026-01-19,t,,,30,730
2539,2026-01-20,t,,,30,730
2539,2026-01-21,t,,,30,730
2539,2026-01-22,t,,,30,730
2539,2026-01-23,t,,,30,730
2539,2026-01-24,t,,,30,730
2539,2026-01-25,t,,,30,730
2539,2026-01-26,t,,,30,730
2539,2026-01-27,t,,,30,730
2539,2026-01-28,t,,,30,730
2539,2026-01-29,t,,,30,730
2539,2026-01-30,t,,,30,730
2539,2026-01-31,t,,,30,730
2539,2026-02-01,t,,,30,730
2539,2026-02-02,t,,,30,730
2539,2026-02-03,t,,,30,730
2539,2026-02-04,t,,,30,730
2539,2026-02-05,t,,,30,730
2539,2026-02-06,t,,,30,730
2539,2026-02-07,t,,,30,730
2539,2026-02-08,t,,,30,730
2539,2026-02-09,t,,,30,730
2539,2026-02-10,t,,,30,730
2539,2026-02-11,t,,,30,730
2539,2026-02-12,t,,,30,730
2539,2026-02-13,t,,,30,730
2539,2026-02-14,t,,,30,730
2539,2026-02-15,t,,,30,730
2539,2026-02-16,t,,,30,730
2539,2026-02-17,t,,,30,730
2539,2026-02-18,t,,,30,730
2539,2026-02-19,t,,,30,730
2539,2026-02-20,t,,,30,730
2539,2026-02-21,t,,,30,730
2539,2026-02-22,t,,,30,730
2539,2026-02-23,t,,,30,730
2539,2026-02-24,t,,,30,730
2539,2026-02-25,t,,,30,730
2539,2026-02-26,t,,,30,730
2539,2026-02-27,t,,,30,730
2539,2026-02-28,t,,,30,730
2539,2026-03-01,t,,,30,730
2539,2026-03-02,t,,,30,730
2539,2026-03-03,t,,,30,730
2539,2026-03-04,t,,,30,730
2539,2026-03-05,t,,,30,730
